crayfish.id,species,lifestyle,sex,clawside,carapace.length.mm,claw.length,maxclawstr.N,PC1.claw.size
CC67,c.carinirostris,nonburrower,m,l,19.83,12.14,2.424219,-3.15E+00
CC67,c.carinirostris,nonburrower,m,r,19.83,12.25,9.334752,-3.23E+00
CC69,c.carinirostris,nonburrower,f,r,28.35,17.52,13.106877,-1.47E-01
CC69,c.carinirostris,nonburrower,f,l,28.35,18.3,14.112777,-5.97E-01
CC71,c.carinirostris,nonburrower,f,l,15.16,8.44,0.784602,-4.02E+00
CC71,c.carinirostris,nonburrower,f,r,15.16,8.62,3.238998,-4.17E+00
CC72,c.carinirostris,nonburrower,f,l,29.6,17.09,7.44366,-3.93E-01
CC72,c.carinirostris,nonburrower,f,r,29.6,19.72,8.540091,1.30E-01
CC73,c.carinirostris,nonburrower,m,r,32.5,26.47,1.10649,2.49E+00
CC73,c.carinirostris,nonburrower,m,l,32.5,25.32,21.486024,2.79E+00
CC74,c.carinirostris,nonburrower,f,r,29.9,18.43,14.042364,-5.77E-02
CC74,c.carinirostris,nonburrower,f,l,29.9,19.79,15.782571,5.80E-01
CC75,c.carinirostris,nonburrower,f,l,19.74,11.77,3.088113,-2.76E+00
CC75,c.carinirostris,nonburrower,f,r,19.74,11.72,24.061128,-2.88E+00
CC76,c.carinirostris,nonburrower,m,l,31.11,22.29,7.383306,1.57E+00
CC76,c.carinirostris,nonburrower,m,r,31.11,22.76,10.36077,1.43E+00
CC77,c.carinirostris,nonburrower,m,r,29.18,20.38,3.078054,3.61E-01
CC77,c.carinirostris,nonburrower,m,l,29.18,18.95,7.976787,1.23E-01
CC78,c.carinirostris,nonburrower,m,l,27.83,17.65,4.82832,-7.37E-01
CC78,c.carinirostris,nonburrower,m,r,27.83,18.64,6.0354,-5.28E-01
CC79,c.carinirostris,nonburrower,m,l,19.37,11.41,1.015959,-2.87E+00
CC79,c.carinirostris,nonburrower,m,r,19.37,11.9,13.629945,-2.77E+00
CC80,c.carinirostris,nonburrower,m,r,26.45,15.71,7.926492,-1.17E+00
CC80,c.carinirostris,nonburrower,m,l,26.45,18.13,10.048941,-8.50E-01
CC84,c.carinirostris,nonburrower,f,r,31.84,22.3,2.373924,8.45E-01
CC84,c.carinirostris,nonburrower,f,l,31.84,23.04,21.486024,1.14E+00
CC85,c.carinirostris,nonburrower,f,l,28.7,17.5,7.624722,-1.30E+00
CC86,c.carinirostris,nonburrower,f,r,22.93,14.81,5.653158,-2.63E+00
CC86,c.carinirostris,nonburrower,f,l,22.93,14.39,7.001064,-2.51E+00
CC87,c.carinirostris,nonburrower,m,l,21.34,12.99,4.637199,-3.06E+00
CC87,c.carinirostris,nonburrower,m,r,21.34,13.31,17.683722,-3.17E+00
CC88,c.carinirostris,nonburrower,f,l,27.1,18.82,8.912274,-8.71E-01
CC88,c.carinirostris,nonburrower,f,r,27.1,18.9,21.164136,-1.20E+00
CC89,c.carinirostris,nonburrower,m,r,35.81,28.43,17.844666,1.83E+00
CC89,c.carinirostris,nonburrower,m,l,35.81,27.8,19.091982,1.84E+00
CC90,c.carinirostris,nonburrower,f,l,24.47,12.63,1.428378,-3.24E+00
CC90,c.carinirostris,nonburrower,f,r,24.47,15.78,6.850179,-2.30E+00
CC91,c.carinirostris,nonburrower,m,l,22.55,12.89,6.196344,-2.98E+00
CC91,c.carinirostris,nonburrower,m,r,22.55,12.85,6.226521,-3.20E+00
CC92,c.carinirostris,nonburrower,f,r,30.26,20.31,6.015282,-7.73E-01
CC92,c.carinirostris,nonburrower,f,l,30.26,19.18,9.173808,-9.31E-01
CC93,c.carinirostris,nonburrower,f,r,39.26,29.92,21.234549,2.37E+00
CC93,c.carinirostris,nonburrower,f,l,39.26,29.54,25.288326,2.29E+00
CC95,c.carinirostris,nonburrower,m,r,32.65,23.06,7.564368,-3.40E-01
CC95,c.carinirostris,nonburrower,m,l,32.65,23.06,13.408647,-1.84E-01
CC96,c.carinirostris,nonburrower,f,l,25.07,14.38,2.001741,-2.50E+00
CC96,c.carinirostris,nonburrower,f,r,25.07,15.39,3.359706,-2.22E+00
CC97,c.carinirostris,nonburrower,m,l,24.99,15.72,8.932392,-2.16E+00
CC97,c.carinirostris,nonburrower,m,r,24.99,15.66,16.355934,-2.04E+00
CC99,c.carinirostris,nonburrower,m,l,31.3,19.13,5.039559,-9.70E-01
CC99,c.carinirostris,nonburrower,m,r,31.3,20.21,22.874166,-6.65E-01
CD01,c. dubius,burrower,m,l,25.63,13.23,8.389206,-2.44E+00
CD01,c. dubius,burrower,m,r,25.63,12,17.120418,-3.43E+00
CD02,c. dubius,burrower,f,r,38.24,20.42,15.410388,-3.55E-01
CD02,c. dubius,burrower,f,l,38.24,19.5,17.633427,8.60E-01
CD03,c. dubius,burrower,f,l,40.17,19.27,10.018764,2.96E-01
CD03,c. dubius,burrower,f,r,40.17,20.92,10.038882,5.73E-01
CD04,c. dubius,burrower,f,r,33.74,17.87,10.974369,-1.47E+00
CD04,c. dubius,burrower,f,l,33.74,17.64,13.408647,-4.49E-01
CD05,c. dubius,burrower,f,r,29.05,15.4,6.306993,-1.46E+00
CD05,c. dubius,burrower,f,l,29.05,14.99,8.811684,-1.35E+00
CD06,c. dubius,burrower,m,r,28.35,15.4,3.963246,-1.53E+00
CD06,c. dubius,burrower,m,l,28.35,15,13.589709,-1.19E+00
CD07,c. dubius,burrower,m,l,33.1,18.57,16.124577,-7.23E-01
CD07,c. dubius,burrower,m,r,33.1,18.8,16.929297,-7.97E-01
CD08,c. dubius,burrower,m,l,27.65,14.44,11.085018,-1.43E+00
CD08,c. dubius,burrower,m,r,27.65,15.07,19.464165,-2.34E+00
CD09,c. dubius,burrower,m,l,24.69,12.51,6.125931,-2.51E+00
CD09,c. dubius,burrower,m,r,24.69,12.89,13.458942,-2.50E+00
CD10,c. dubius,burrower,f,l,24.56,12.12,5.582745,-2.40E+00
CD10,c. dubius,burrower,f,r,24.56,12.49,8.570268,-2.55E+00
CD11,c. dubius,burrower,m,l,26.28,14.35,8.077377,-1.96E+00
CD11,c. dubius,burrower,m,r,26.28,13.57,14.142954,-2.65E+00
CD12,c. dubius,burrower,f,r,40.18,21.62,15.269562,1.07E-02
CD12,c. dubius,burrower,f,l,40.18,20.79,25.127382,6.62E-01
CD13,c. dubius,burrower,m,l,26.61,13.37,9.928233,-1.25E+00
CD13,c. dubius,burrower,m,r,26.61,13.81,10.129413,-2.44E+00
CD16,c. dubius,burrower,f,r,38.12,19.43,5.079795,-4.66E-01
CD16,c. dubius,burrower,f,l,38.12,19.88,18.699681,9.51E-01
CD17,c. dubius,burrower,f,l,18.63,8.36,1.176903,-2.93E+00
CD17,c. dubius,burrower,f,r,18.63,8.6,3.963246,-3.60E+00
CD18,c. dubius,burrower,m,l,28.26,15.33,9.173808,-1.05E+00
CD18,c. dubius,burrower,m,r,28.26,15.24,21.154077,-1.85E+00
CD19,c. dubius,burrower,f,r,28.95,14.06,10.109295,6.04E-01
CD19,c. dubius,burrower,f,l,28.95,14.17,11.256021,2.68E-01
CD20,c. dubius,burrower,f,r,25.72,12.52,4.52655,-2.91E-01
CD20,c. dubius,burrower,f,l,25.72,12.51,6.0354,-1.94E-01
CD21,c. dubius,burrower,f,r,23.01,12.7,0.171003,-2.83E-01
CD21,c. dubius,burrower,f,l,23.01,12.53,6.789825,-2.83E-01
CD22,c. dubius,burrower,m,r,33.91,19.99,11.537673,2.86E+00
CD22,c. dubius,burrower,m,l,33.91,18.3,17.653545,2.28E+00
CD23,c. dubius,burrower,f,r,31.92,16.06,1.076313,1.85E+00
CD23,c. dubius,burrower,f,l,31.92,16.61,14.505078,2.29E+00
CD24,c. dubius,burrower,f,r,31.93,16.83,10.109295,1.88E+00
CD24,c. dubius,burrower,f,l,31.93,16.24,14.525196,2.26E+00
CD25,c. dubius,burrower,f,r,36.18,17.65,12.795048,1.49E+00
CD25,c. dubius,burrower,f,l,36.18,19.59,16.19499,3.65E+00
CD26,c. dubius,burrower,m,r,31.04,17.6,7.815843,2.21E+00
CD26,c. dubius,burrower,m,l,31.04,14.48,14.98791,2.79E+00
CD27,c. dubius,burrower,f,r,38.25,21.2,5.743689,3.71E+00
CD27,c. dubius,burrower,f,l,38.25,21.14,20.540478,4.07E+00
CD28,c. dubius,burrower,f,r,37.32,19.86,14.676081,6.91E-01
CD28,c. dubius,burrower,f,l,37.32,21.24,18.941097,3.23E+00
CD29,c. dubius,burrower,f,r,36.37,19.27,13.589709,1.44E+00
CD29,c. dubius,burrower,f,l,36.37,17.8,15.108618,1.44E+00
CD30,c. dubius,burrower,f,r,34.43,19.62,11.416965,1.26E+00
CD30,c. dubius,burrower,f,l,34.43,19.32,17.623368,3.56E+00
CD31,c. dubius,burrower,m,r,29.36,15.46,4.82832,5.68E-02
CD31,c. dubius,burrower,m,l,29.36,15.24,5.079795,2.58E-01
CD32,c. dubius,burrower,m,r,34.76,19.78,15.18909,1.23E+00
CD32,c. dubius,burrower,m,l,34.76,19.72,16.215108,2.65E+00
CD33,c. dubius,burrower,f,l,34.91,17.25,9.344811,2.80E+00
CD33,c. dubius,burrower,f,r,34.91,18.66,18.669504,1.84E+00
CD34,c. dubius,burrower,m,l,24.97,12.07,2.786343,-6.08E-01
CD34,c. dubius,burrower,m,r,24.97,12.28,16.013928,-1.28E+00
CM01,c.monongalensis,burrower,f,l,23.17,13.19,7.956669,-2.62E+00
CM01,c.monongalensis,burrower,f,r,23.17,13.29,16.969533,-2.93E+00
CM02,c.monongalensis,burrower,f,l,22.92,14.41,9.45546,-2.16E+00
CM02,c.monongalensis,burrower,f,r,22.92,14.08,14.354193,-2.34E+00
CM03,c.monongalensis,burrower,f,r,34.98,24,7.222362,8.55E-01
CM03,c.monongalensis,burrower,f,l,34.98,23.94,22.1298,1.33E+00
CM04,c.monongalensis,burrower,f,l,37.11,23.88,17.039946,9.77E-01
CM04,c.monongalensis,burrower,f,r,37.11,24.21,19.423929,9.27E-01
CM05,c.monongalensis,burrower,f,l,28.43,16.36,10.048941,-1.71E+00
CM05,c.monongalensis,burrower,f,r,28.43,17.89,17.221008,-1.46E+00
CM06,c.monongalensis,burrower,f,l,18.2,9.72,1.790502,-3.94E+00
CM06,c.monongalensis,burrower,f,r,18.2,9.98,4.737789,-3.89E+00
CM07,c.monongalensis,burrower,f,l,22.73,14.15,6.588645,-2.42E+00
CM07,c.monongalensis,burrower,f,r,22.73,13.85,8.701035,-2.72E+00
CM08,c.monongalensis,burrower,f,r,27.76,17.84,7.34307,-1.38E+00
CM08,c.monongalensis,burrower,f,l,27.76,17.63,10.038882,-1.26E+00
CM09,c.monongalensis,burrower,m,l,27.09,18.28,11.044782,-1.30E+00
CM09,c.monongalensis,burrower,m,r,27.09,18.22,27.702486,-9.37E-01
CM10,c.monongalensis,burrower,f,l,35.93,21.42,8.359029,1.77E-01
CM10,c.monongalensis,burrower,f,r,35.93,23.09,16.255344,1.33E+00
CM11,c.monongalensis,burrower,m,l,23.92,18.15,2.092272,-6.30E-01
CM11,c.monongalensis,burrower,m,r,23.92,17,9.324693,-1.10E+00
CM12,c.monongalensis,burrower,f,l,34.07,13.64,1.368024,-2.89E+00
CM12,c.monongalensis,burrower,f,r,34.07,22.04,2.182803,8.65E-01
CM13,c.monongalensis,burrower,f,l,19.86,11.14,1.176903,-3.78E+00
CM13,c.monongalensis,burrower,f,r,19.86,11.37,4.234839,-3.42E+00
CM14,c.monongalensis,burrower,f,r,30.86,21.22,12.302157,3.90E-01
CM14,c.monongalensis,burrower,f,l,30.86,20.72,18.277203,-7.51E-01
CM15,c.monongalensis,burrower,m,l,29.39,16.68,4.687494,-2.01E+00
CM15,c.monongalensis,burrower,m,r,29.39,21.41,9.525873,-2.41E-02
CM16,c.monongalensis,burrower,f,l,38.37,24.33,19.41387,1.71E+00
CM16,c.monongalensis,burrower,f,r,38.37,23.77,21.445788,1.22E+00
CM18,c.monongalensis,burrower,f,r,21.86,12.96,3.440178,-1.96E+00
CM19,c.monongalensis,burrower,f,l,28.98,15.48,3.892833,1.64E+00
CM19,c.monongalensis,burrower,f,r,28.98,18.83,19.232808,2.66E+00
CM22,c.monongalensis,burrower,f,r,31.22,12.72,0.885192,-2.95E-01
CM22,c.monongalensis,burrower,f,l,31.22,20.71,24.302544,2.56E+00
CM23,c.monongalensis,burrower,f,r,37.53,23.59,17.392011,9.38E-01
CM23,c.monongalensis,burrower,f,l,37.53,23.92,18.166554,9.19E-01
CM24,c.monongalensis,burrower,f,l,35.33,22.98,13.458942,1.05E+00
CM24,c.monongalensis,burrower,f,r,35.33,22.5,21.32508,6.12E-01
CM25,c.monongalensis,burrower,f,l,30.8,20.35,10.26018,-5.65E-01
CM25,c.monongalensis,burrower,f,r,30.8,20.57,23.246349,-3.28E-01
CM27,c.monongalensis,burrower,m,l,16.82,7.03,0.342006,-5.26E+00
CM27,c.monongalensis,burrower,m,r,16.82,8.36,7.755489,-4.41E+00
CM28,c.monongalensis,burrower,f,l,17.36,9.27,2.243157,-4.18E+00
CM28,c.monongalensis,burrower,f,r,17.36,9.11,13.720476,-4.35E+00
