lake,Date,Depth (m),Corrected_Chl_ug/l,Total_Chl_ug/l,Pheo_ug/l,NH4OPA_uM,NH4 Indol_uM,PO4_uM,NO3_uM,TDN_uM,TN_uM,TP_uM,TDP_uM,PP-ug/l,PP_uM,PN-ug/l,PN_uM,PC-ug/l,PC_uM,DOC_uM,DIC_uM,Alk_meqL,SO4_uM,Cl_uM,Ca_uM,Mg_uM,Na_uM,K_uM,Si_uM
I5,2017-06-20,8,1.74,2.04,0.58,0.14,.,0.05,0.03,17.2,21.58,.,0.09,.,.,61.39,4.38,458.47,38.17,517,344,0.200,.,.,105.2,31,6.2,5.89,15.32
I6 Headwater Lake,2017-06-20,1,1.27,1.36,0.18,0.13,.,0.04,0.01,13.6,17.00,.,0.06,.,.,47.59,3.40,430.30,35.83,375,1023,0.994,.,.,488.3,76,12.8,6.11,31.63
I6 Headwater Lake,2017-06-20,5,6.26,6.85,1.15,0.15,.,0.05,0.01,15.2,21.64,.,0.06,.,.,90.14,6.44,710.97,59.19,378,1059,0.990,.,.,484.5,76,12.7,6.17,33.63
I6 Headwater Lake,2017-06-20,6,7.14,7.76,1.21,0.22,.,0.05,0.04,13.5,19.52,.,0.07,.,.,84.36,6.02,761.01,63.36,376,1083,0.988,.,.,488.5,76,12.3,6.17,34.43
I6 ,2017-06-21,1,2.02,2.36,0.65,0.14,.,0.05,0.00,14.5,17.92,.,0.07,.,.,47.93,3.42,376.36,31.34,471,500,0.377,.,.,184.2,40,7.9,6.37,16.72
I6 ,2017-06-21,6,2.58,2.93,0.67,0.19,.,0.04,0.01,16.9,20.51,.,0.09,.,.,50.56,3.61,381.77,31.79,478,560,0.383,.,.,188.8,41,8.0,6.30,17.97
I6 ,2017-06-21,12,1.24,1.48,0.48,0.17,.,0.04,0.23,18.0,21.29,.,0.06,.,.,46.14,3.29,355.78,29.62,476,641,0.393,.,.,197.6,41,8.0,6.29,19.79
I7,2017-06-21,1,1.27,1.44,0.34,0.15,.,0.05,0.02,15.7,18.87,.,0.07,.,.,44.38,3.17,345.29,28.75,471,404,0.355,.,.,172.7,36,7.4,6.70,13.22
I7,2017-06-21,4,3.73,4.21,0.92,0.12,.,0.05,0.00,20.4,24.69,.,0.08,.,.,60.06,4.29,460.96,38.38,474,337,0.271,.,.,163.8,35,7.4,6.67,13.33
I7,2017-06-21,10,1.12,1.40,0.55,0.15,.,0.05,0.00,15.1,19.04,.,0.10,.,.,55.23,3.94,444.69,37.02,459,508,0.319,.,.,160.8,34,7.2,6.60,16.08
I8,2017-06-21,1,2.61,3.06,0.88,0.11,.,0.05,0.00,16.2,21.13,.,0.09,.,.,69.00,4.93,514.48,42.83,323,611,0.589,.,.,286.0,57,10.3,6.54,13.32
I8,2017-06-21,5,4.96,5.73,1.49,0.12,.,0.06,0.36,15.0,20.32,.,0.12,.,.,74.48,5.32,501.23,41.73,333,629,0.564,.,.,275.0,55,9.9,6.73,16.78
I8,2017-06-21,7,1.33,1.69,0.71,0.10,.,0.05,0.86,14.6,18.61,.,0.09,.,.,56.21,4.01,408.69,34.03,317,692,0.593,.,.,269.2,55,9.7,6.57,18.86
I Swamp,2017-06-21,1,1.31,1.57,0.50,0.08,.,0.04,0.28,14.4,17.40,.,0.06,.,.,42.05,3.00,315.08,26.23,393,461,0.413,.,.,200.5,39,7.6,6.59,10.85
I Swamp,2017-06-21,3,2.18,2.48,0.58,0.21,.,0.05,1.45,19.1,22.20,.,0.05,.,.,43.41,3.10,314.63,26.20,389,525,0.441,.,.,214.1,42,8.2,6.64,12.85
Toolik,2017-06-23,0,1.11,1.29,0.35,0.07,.,0.02,0.00,12.7,16.11,.,0.04,.,.,47.80,3.41,299.37,24.93,370,929,0.840,.,.,426.8,84,15.5,6.32,25.68
Toolik,2017-06-23,1,1.54,1.69,0.30,0.07,.,0.02,0.03,12.3,16.57,.,0.05,.,.,59.76,4.27,373.33,31.08,367,921,0.834,.,.,426.7,84,15.2,6.27,25.65
Toolik,2017-06-23,1,1.88,2.12,0.47,0.01,.,0.02,0.04,12.3,.,.,0.05,.,.,63.42,4.53,412.26,34.32,367,920,0.832,.,.,426.7,84,15.2,6.27,25.65
Toolik,2017-06-23,3,2.55,2.88,0.65,0.03,.,0.03,0.06,14.5,20.27,.,0.06,.,.,80.85,5.77,522.52,43.50,377,934,0.842,.,.,423.9,84,15.2,6.38,25.90
Toolik,2017-06-23,5,2.89,3.29,0.76,0.07,.,0.02,0.25,11.6,16.03,.,0.06,.,.,62.04,4.43,391.99,32.64,370,937,0.839,.,.,429.8,85,15.4,6.39,26.59
Toolik,2017-06-23,8,1.37,1.64,0.52,0.16,.,0.01,0.64,11.9,15.17,.,0.05,.,.,45.80,3.27,305.21,25.41,368,952,0.844,.,.,428.2,85,15.3,6.33,27.19
Toolik,2017-06-23,12,0.81,1.03,0.43,0.05,.,0.01,1.39,15.2,18.01,.,0.05,.,.,39.34,2.81,252.49,21.02,376,1007,0.866,.,.,440.2,87,15.7,6.41,29.33
Toolik,2017-06-23,16,0.78,1.04,0.50,0.15,.,0.01,1.64,14.0,16.76,.,0.04,.,.,38.64,2.76,241.51,20.11,376,1027,0.873,.,.,448.6,88,15.9,6.45,30.18
Toolik,2017-06-23,20,21.56,11.13,-20.20,0.20,.,0.01,1.68,13.9,16.91,.,0.02,.,.,42.20,3.01,265.70,22.12,377,1020,0.873,.,.,455.4,88,16.0,6.46,30.33
LTER 345,2017-06-26,1,1.08,1.20,0.22,0.27,.,0.02,0.77,14.7,16.65,.,0.27,.,.,27.26,1.95,191.36,15.93,337,496,0.448,.,.,596.9,235,88.1,15.40,15.26
LTER 345,2017-06-26,5,1.91,2.11,0.37,0.37,.,0.02,0.80,12.7,15.00,.,0.05,.,.,32.16,2.30,242.26,20.17,338,505,0.448,.,.,584.9,236,86.7,15.47,15.18
LTER 345,2017-06-26,12,1.48,1.65,0.33,0.38,.,0.03,1.07,14.7,16.91,.,0.04,.,.,30.98,2.21,205.31,17.09,338,519,0.446,.,.,593.1,235,87.4,15.88,15.38
LTER 345,2017-06-26,20,0.88,1.04,0.30,0.36,.,0.03,1.23,12.9,14.87,.,0.04,.,.,27.62,1.97,186.84,15.56,332,528,0.448,.,.,582.7,236,88.3,15.64,15.70
LTER 345,2017-06-26,26,1.20,1.37,0.33,0.25,.,0.03,1.21,17.2,19.32,.,0.05,.,.,29.76,2.12,212.87,17.72,334,531,0.451,.,.,594.8,235,86.7,15.54,15.84
LTER 346,2017-06-26,3,0.86,1.02,0.31,0.34,.,0.03,0.01,21.0,.,.,0.10,.,.,.,.,.,.,460,348,0.321,.,.,927.5,402,256.7,15.78,19.61
LTER 346,2017-06-26,4,1.39,1.71,0.62,0.23,.,0.03,0.01,18.0,.,.,0.11,.,.,.,.,.,.,476,409,0.340,.,.,1019.0,430,279.8,16.45,25.05
LTER 346,2017-06-26,13,1.69,2.24,1.05,0.24,.,0.04,0.02,27.5,.,.,0.09,.,.,.,.,.,.,623,790,0.487,.,.,1491.4,600,433.9,18.58,48.68
LTER 347,2017-06-26,3,1.15,1.37,0.42,0.22,.,0.04,0.02,14.6,.,.,0.05,.,.,.,.,.,.,382,432,0.332,.,.,395.5,168,69.8,11.68,17.78
LTER 347,2017-06-26,6,2.41,2.86,0.87,0.23,.,0.05,0.01,14.9,.,.,0.06,.,.,.,.,.,.,380,463,0.329,.,.,394.3,167,67.8,11.80,18.64
LTER 347,2017-06-26,16,1.18,1.57,0.75,0.51,.,0.04,0.25,18.5,.,.,0.05,.,.,.,.,.,.,411,605,0.375,.,.,433.6,186,78.9,12.71,26.20
E 05,2017-06-27,0,1.07,1.31,0.46,0.36,.,0.02,0.00,12.7,16.57,.,0.08,7.16,0.23,54.14,3.87,507.80,42.28,456,225,0.104,.,.,62.6,19,9.5,4.60,34.68
E 05,2017-06-27,1,1.03,1.33,0.57,0.30,.,0.03,0.01,16.0,21.35,.,0.09,7.51,0.24,75.00,5.35,590.47,49.16,462,249,0.109,.,.,63.1,19,9.6,4.77,35.19
E 05,2017-06-27,3,2.41,3.01,1.17,0.26,.,0.03,0.01,13.4,20.01,.,0.08,13.01,0.42,92.53,6.61,784.25,65.30,461,293,0.104,.,.,63.4,19,9.3,4.72,34.38
E 05,2017-06-27,5,1.99,2.48,0.95,0.32,.,0.07,0.02,12.9,18.72,.,0.09,9.15,0.30,81.45,5.82,597.62,49.76,455,457,0.113,.,.,63.6,19,9.5,4.76,35.92
E 05,2017-06-27,8,1.73,2.37,1.24,0.25,.,0.04,0.04,12.8,17.66,.,0.12,9.42,0.30,68.03,4.86,533.10,44.39,455,469,0.104,.,.,62.8,19,9.3,4.60,37.60
E 05,2017-06-27,10,1.60,2.37,1.48,0.50,.,0.09,0.07,17.1,22.43,.,0.15,12.41,0.40,74.69,5.33,581.68,48.43,456,474,0.107,.,.,63.8,19,9.4,4.63,38.18
E 06,2017-06-27,0,0.72,0.99,0.53,0.18,.,0.03,0.01,15.0,19.88,.,0.10,7.83,0.25,68.39,4.88,567.67,47.26,424,172,0.119,.,.,65.1,21,11.6,3.64,8.16
E 06,2017-06-27,1,1.07,1.31,0.47,0.16,.,0.02,0.01,17.5,22.34,.,0.11,7.66,0.25,67.75,4.84,490.12,40.81,425,176,0.116,.,.,64.1,21,11.5,3.54,7.96
E 06,2017-06-27,2,1.73,2.21,0.93,0.11,.,0.01,0.01,15.2,17.79,.,.,3.88,0.13,36.26,2.59,273.89,22.80,419,177,0.117,.,.,65.7,20,11.3,3.57,7.73
Zev Lake,2017-06-28,1,0.88,0.77,-0.23,0.16,.,0.02,0.02,15.0,18.13,.,0.05,.,.,43.85,3.13,264.89,22.05,283,485,0.442,.,.,215.7,44,12.9,6.32,12.03
Zev Lake,2017-06-28,3,0.97,1.12,0.28,0.10,.,0.02,0.02,11.9,15.34,.,0.02,.,.,48.16,3.44,277.90,23.14,291,499,0.448,.,.,209.9,44,12.9,6.27,12.32
Zev Lake,2017-06-28,8,5.62,6.64,1.98,0.19,.,0.03,0.00,12.5,20.29,.,0.57,.,.,109.12,7.79,531.78,44.28,293,609,0.414,.,.,195.7,42,12.5,6.29,18.29
Upper Zev Lake,2017-06-28,1,0.50,0.59,0.16,0.16,.,0.02,0.03,10.8,14.38,.,0.01,.,.,50.16,3.58,229.74,19.13,254,422,0.389,.,.,206.2,43,13.9,6.13,12.69
Upper Zev Lake,2017-06-28,4,1.26,1.25,-0.04,0.20,.,0.02,0.22,11.5,15.75,.,0.02,.,.,59.53,4.25,262.35,21.84,246,478,0.440,.,.,209.2,44,13.7,6.11,12.17
Upper Zev Lake,2017-06-28,8,10.83,12.50,3.24,2.67,.,0.06,0.34,18.9,30.08,.,0.07,.,.,156.57,11.18,772.06,64.28,286,1210,0.689,.,.,311.2,61,19.3,7.50,45.80
Lower Campsite Lake,2017-06-28,1,0.89,1.08,0.36,0.19,.,0.02,0.03,12.2,17.32,.,0.02,.,.,71.68,5.12,420.93,35.05,255,540,0.462,.,.,219.3,46,14.5,6.71,10.94
Lower Campsite Lake,2017-06-28,4,1.51,1.83,0.62,0.11,.,0.02,0.01,12.4,17.00,.,0.03,.,.,64.42,4.60,356.78,29.70,234,565,0.468,.,.,221.2,46,15.2,6.42,10.90
Lower Campsite Lake,2017-06-28,8,8.36,10.17,3.51,5.90,.,0.05,0.28,18.2,31.13,.,0.02,.,.,181.05,12.93,1062.00,88.42,266,1337,0.786,.,.,357.1,67,19.1,6.82,43.62
Toolik,2017-06-30,0,1.02,1.25,0.45,0.36,.,0.02,0.04,16.1,19.01,.,0.04,.,.,40.77,2.91,263.22,21.92,390,927,0.859,.,.,437.0,85,15.6,6.36,23.62
Toolik,2017-06-30,1,1.11,1.33,0.42,0.19,.,0.02,0.02,13.1,16.70,.,0.05,.,.,50.47,3.60,342.56,28.52,377,903,0.842,.,.,428.6,85,15.7,6.28,23.71
Toolik,2017-06-30,1,0.93,1.11,0.36,0.22,.,0.03,0.03,13.1,.,.,0.04,.,.,51.97,3.71,346.34,28.84,377,910,0.848,.,.,428.6,85,15.7,6.28,23.71
Toolik,2017-06-30,3,1.40,1.62,0.43,0.22,.,0.02,0.05,12.1,15.46,.,0.03,.,.,47.11,3.36,340.46,28.35,376,905,0.844,.,.,428.3,85,15.2,6.17,23.62
Toolik,2017-06-30,5,1.79,2.09,0.60,0.11,.,0.02,0.06,11.6,15.78,.,0.05,.,.,58.60,4.18,391.12,32.56,375,910,0.845,.,.,435.3,85,15.6,6.27,23.79
Toolik,2017-06-30,8,4.16,4.73,1.10,0.12,.,0.02,0.13,13.7,17.98,.,0.05,.,.,59.96,4.28,395.22,32.91,399,1001,0.844,.,.,435.1,85,15.6,6.48,26.48
Toolik,2017-06-30,12,0.81,1.05,0.46,0.25,.,0.02,1.26,15.2,18.30,.,0.06,.,.,43.46,3.10,291.93,24.31,383,1044,0.846,.,.,447.2,87,15.9,6.50,29.51
Toolik,2017-06-30,16,0.68,0.97,0.55,0.50,.,0.02,1.63,15.1,17.87,.,0.02,.,.,38.84,2.77,260.92,21.72,383,1053,0.860,.,.,445.5,86,15.6,6.42,29.80
Toolik,2017-06-30,20,0.68,0.90,0.43,0.60,.,0.02,1.61,19.5,22.40,.,0.06,.,.,40.56,2.90,287.63,23.95,412,1068,0.868,.,.,442.5,87,15.8,6.40,30.40
N 01,2017-07-03,0,1.04,1.28,0.46,0.19,.,0.04,0.02,17.0,21.38,.,0.07,.,.,61.38,4.38,401.74,33.45,404,1309,1.290,.,.,634.8,128,12.1,10.40,23.25
N 01,2017-07-03,1,1.05,1.29,0.48,0.11,.,0.02,0.01,16.1,20.54,.,0.07,.,.,62.20,4.44,342.39,28.51,399,1310,1.292,.,.,643.2,128,11.9,10.26,23.48
N 01,2017-07-03,3,0.97,1.23,0.50,0.18,.,0.02,0.01,18.4,22.08,.,0.07,.,.,51.60,3.68,326.09,27.15,398,1311,1.292,.,.,648.3,128,12.0,10.38,23.41
N 01,2017-07-03,5,2.05,2.65,1.17,0.10,.,0.02,0.00,14.5,20.61,.,0.07,.,.,85.54,6.11,506.16,42.14,398,1388,1.302,.,.,642.2,127,11.6,10.17,25.81
N 01,2017-07-03,8,3.58,4.62,2.02,0.07,.,0.03,0.00,14.2,21.72,.,0.08,.,.,105.39,7.52,571.51,47.58,396,1538,1.338,.,.,661.6,132,12.4,10.66,30.45
N 01,2017-07-03,11,1.91,2.35,0.86,0.35,.,0.04,0.00,14.9,21.71,.,0.06,.,.,95.37,6.81,509.62,42.43,400,1701,1.386,.,.,686.1,137,12.6,10.81,36.39
N 02,2017-07-03,0,0.80,0.91,0.22,0.10,.,0.03,0.02,12.6,15.60,.,0.06,.,.,42.07,3.00,241.09,20.07,361,1698,1.589,.,.,825.7,162,16.3,6.90,18.60
N 02,2017-07-03,1,0.65,0.71,0.11,0.39,.,0.02,0.01,15.4,18.45,.,0.06,.,.,42.79,3.05,241.19,20.08,363,1662,1.590,.,.,810.1,161,15.4,6.83,18.67
N 02,2017-07-03,3,0.92,1.08,0.29,0.09,.,0.02,0.00,15.6,20.24,.,0.05,.,.,65.02,4.64,293.00,24.39,365,1741,1.603,.,.,825.5,164,15.8,6.96,19.10
N 02,2017-07-03,5,3.75,4.33,1.12,0.10,.,0.04,0.01,17.2,25.84,.,0.06,.,.,120.96,8.64,545.15,45.39,465,2803,2.455,.,.,1313.2,254,26.0,8.15,39.35
N 02,2017-07-03,8,0.94,1.18,0.47,1.48,.,0.06,0.01,20.7,31.29,.,0.07,.,.,148.27,10.59,597.29,49.73,451,3216,2.593,.,.,1365.7,264,27.8,8.72,64.37
Fog 01,2017-07-04,1,0.61,0.69,0.16,0.09,.,0.04,0.02,14.1,16.22,.,0.06,.,.,29.67,2.12,180.86,15.06,322,1336,1.306,.,.,699.2,137,29.4,11.25,42.08
Fog 01,2017-07-04,3,0.62,0.70,0.16,0.07,.,0.03,0.02,15.5,18.42,.,0.06,.,.,40.86,2.92,211.28,17.59,320,1330,1.300,.,.,690.5,136,29.9,11.10,42.15
Fog 01,2017-07-04,4,0.90,0.99,0.17,0.11,.,0.03,0.01,14.4,17.18,.,0.06,.,.,38.96,2.78,207.78,17.30,320,1357,1.297,.,.,700.1,137,29.9,11.20,43.12
Fog 01,2017-07-04,16,3.43,4.00,1.10,0.26,.,0.10,0.00,18.7,24.03,.,0.10,.,.,74.61,5.33,394.37,32.83,382,1949,1.703,.,.,916.1,179,40.4,14.21,69.47
Fog 04,2017-07-04,0,1.60,1.82,0.42,0.97,.,0.03,0.07,17.5,21.45,.,0.09,.,.,55.36,3.95,326.36,27.17,368,942,0.892,.,.,490.7,102,22.9,8.07,13.34
Fog 04,2017-07-04,1,1.56,1.78,0.42,0.86,.,0.03,0.06,17.4,21.75,.,0.10,.,.,60.92,4.35,338.41,28.18,369,948,0.899,.,.,480.1,101,23.0,7.99,13.29
Fog 04,2017-07-04,3,1.87,2.17,0.58,1.47,.,0.04,0.04,18.8,22.53,.,0.10,.,.,52.28,3.73,359.14,29.90,370,1032,0.910,.,.,489.1,103,23.5,8.13,15.86
Fog 05,2017-07-04,1,2.32,2.67,0.69,0.08,.,0.02,0.00,15.9,22.31,.,0.07,.,.,89.83,6.41,523.71,43.60,358,909,0.838,.,.,460.1,102,23.1,7.80,22.58
Fog 05,2017-07-04,3,1.91,2.22,0.61,0.35,.,0.03,0.05,18.0,21.91,.,0.08,.,.,54.73,3.91,376.27,31.33,358,983,0.846,.,.,452.4,102,22.5,7.62,23.74
Fog 05,2017-07-04,4,2.03,2.43,0.77,0.15,.,0.04,0.00,12.9,16.51,.,0.07,.,.,50.50,3.61,298.37,24.84,362,1063,0.860,.,.,482.0,105,23.1,8.04,26.03
Fog 05,2017-07-04,8,1.48,2.47,1.90,4.33,.,0.07,0.30,27.1,32.16,.,0.11,.,.,70.88,5.06,492.99,41.05,546,2574,1.656,.,.,927.7,199,48.1,10.79,86.21
Fog 02,2017-07-05,1,0.57,0.64,0.13,0.21,.,0.04,0.02,12.8,16.39,.,0.06,.,.,50.29,3.59,284.77,23.71,250,.,1.398,.,.,700.2,129,33.0,9.79,18.81
Fog 02,2017-07-05,3,0.71,0.79,0.15,0.13,.,0.03,0.00,11.2,13.94,.,0.05,.,.,38.37,2.74,221.87,18.47,249,.,1.400,.,.,703.5,129,32.7,9.69,18.76
Fog 02,2017-07-05,4,1.02,1.11,0.16,0.44,.,0.04,0.04,11.9,15.62,.,0.06,.,.,52.08,3.72,334.62,27.86,255,.,1.411,.,.,725.6,131,33.1,9.94,19.90
Fog 02,2017-07-05,16,1.68,2.02,0.66,0.19,.,0.05,0.02,13.3,17.64,.,0.06,.,.,60.83,4.34,310.80,25.88,271,.,1.662,.,.,841.1,153,39.5,11.40,34.44
Fog 03,2017-07-05,1,0.90,0.97,0.13,0.18,.,0.04,0.01,15.6,18.51,.,0.07,.,.,40.73,2.91,257.25,21.42,380,.,0.944,.,.,484.6,121,26.4,9.93,25.66
Fog 03,2017-07-05,3,0.97,1.08,0.21,0.05,.,0.04,0.02,15.8,18.60,.,0.06,.,.,39.27,2.80,257.35,21.43,374,.,0.981,.,.,494.8,118,26.3,9.91,25.34
Fog 03,2017-07-05,4,0.66,0.73,0.13,0.14,.,0.03,0.00,15.6,18.64,.,0.08,.,.,42.55,3.04,266.05,22.15,377,.,0.943,.,.,484.1,115,26.0,10.01,25.43
Fog 03,2017-07-05,16,1.44,1.60,0.30,0.62,.,0.04,0.76,19.0,21.96,.,0.07,.,.,41.50,2.96,280.96,23.39,424,.,1.118,.,.,581.8,138,32.0,11.57,42.20
Toolik,2017-07-07,0,0.98,1.16,0.35,0.17,.,0.03,0.06,13.9,16.94,.,0.04,.,.,42.55,3.04,284.05,23.65,386,900,0.847,.,.,438.2,85,15.7,6.35,22.79
Toolik,2017-07-07,1,0.96,1.16,0.39,0.36,.,0.03,0.00,13.4,16.54,.,0.04,.,.,43.96,3.14,289.22,24.08,387,888,0.841,.,.,437.5,85,15.6,6.32,22.78
Toolik,2017-07-07,1,0.90,1.10,0.38,0.24,.,0.03,0.00,13.4,.,.,0.05,.,.,46.61,3.33,308.94,25.72,387,891,0.844,.,.,437.5,85,15.6,6.32,22.78
Toolik,2017-07-07,3,1.00,1.18,0.36,0.18,.,0.03,0.00,16.1,19.39,.,0.11,.,.,46.09,3.29,315.09,26.23,383,890,0.845,.,.,431.2,85,15.7,6.26,22.73
Toolik,2017-07-07,5,1.38,1.60,0.41,0.16,.,0.03,0.00,13.3,18.06,.,0.04,.,.,66.72,4.76,364.99,30.39,383,887,0.835,.,.,428.2,85,15.7,6.26,22.67
Toolik,2017-07-07,8,5.18,5.85,1.30,0.12,.,0.04,0.00,14.1,18.37,.,0.05,.,.,59.75,4.27,395.34,32.92,385,997,0.840,.,.,424.3,85,15.3,6.41,25.94
Toolik,2017-07-07,12,1.14,1.44,0.58,0.31,.,0.04,1.10,21.4,24.31,.,0.05,.,.,40.80,2.91,256.87,21.39,383,1082,0.855,.,.,424.6,86,15.6,6.43,29.16
Toolik,2017-07-07,16,0.70,0.91,0.41,0.68,.,0.04,1.47,16.8,20.06,.,0.04,.,.,45.61,3.26,284.69,23.70,390,1070,0.855,.,.,429.5,86,16.0,6.40,30.07
Toolik,2017-07-07,20,0.79,1.01,0.43,0.70,.,0.03,1.56,15.7,18.47,.,0.04,.,.,38.74,2.77,250.41,20.85,388,1062,0.856,.,.,438.9,86,15.6,6.45,30.83
I1,2017-07-11,1,0.88,1.03,0.29,0.10,.,0.02,0.01,15.5,17.89,.,0.06,.,.,33.50,2.39,246.00,20.48,408,277,0.248,.,.,121.8,34,7.1,7.42,11.13
I1,2017-07-11,6,1.67,2.00,0.64,0.16,.,0.02,0.00,15.5,18.46,.,0.07,.,.,41.52,2.96,290.40,24.18,393,361,0.254,.,.,121.3,33,7.3,7.61,12.34
I1,2017-07-11,9,2.02,2.50,0.94,0.82,.,0.03,0.35,17.4,21.67,.,0.10,.,.,59.85,4.27,407.55,33.93,393,513,0.248,.,.,119.4,32,7.3,7.63,17.87
I2,2017-07-11,1,1.13,1.36,0.44,0.08,.,0.03,0.00,17.8,20.47,.,0.09,.,.,37.43,2.67,266.96,22.23,566,319,0.213,.,.,107.8,36,6.9,8.15,14.15
I2,2017-07-11,4,1.23,1.60,0.71,0.27,.,0.02,0.71,16.6,19.27,.,0.09,.,.,37.37,2.67,267.88,22.30,573,375,0.202,.,.,105.3,36,6.9,8.17,16.52
I2,2017-07-11,14,0.28,0.50,0.42,0.41,.,0.03,2.22,18.7,21.22,.,0.09,.,.,35.24,2.52,274.61,22.86,566,594,0.209,.,.,105.6,36,6.8,8.21,23.41
I3,2017-07-11,1,1.46,1.73,0.53,0.11,.,0.02,0.00,19.0,23.29,.,0.03,.,.,60.12,4.29,481.70,40.11,470,250,0.219,.,.,108.6,32,6.4,6.87,4.50
I3,2017-07-11,4,1.99,2.67,1.33,0.10,.,0.05,0.02,16.4,23.05,.,0.14,.,.,93.19,6.65,741.70,61.75,459,350,0.219,.,.,105.2,35,6.5,6.78,6.92
I4,2017-07-11,1,1.58,1.89,0.59,0.11,.,0.03,0.00,16.1,20.68,.,0.09,.,.,64.18,4.58,536.77,44.69,502,249,0.211,.,.,100.8,37,6.0,6.01,8.31
I4,2017-07-11,5,1.31,1.94,1.22,0.10,.,0.07,0.00,18.8,24.20,.,0.16,.,.,75.69,5.40,600.36,49.99,467,464,0.207,.,.,98.3,41,6.3,6.14,14.40
I4,2017-07-11,6,0.84,1.47,1.21,0.17,.,0.13,0.07,18.8,24.13,.,0.22,.,.,74.65,5.33,612.83,51.02,457,804,0.223,.,.,92.5,45,6.3,6.16,19.72
I5,2017-07-11,1,0.86,1.02,0.30,0.02,.,0.03,0.02,20.4,22.99,.,0.07,.,.,36.29,2.59,241.23,20.08,513,242,0.206,.,.,86.2,47,6.1,5.23,15.54
I5,2017-07-11,5,0.64,1.14,0.97,0.06,.,0.04,0.01,18.3,20.97,.,0.06,.,.,37.36,2.67,249.25,20.75,507,319,0.203,.,.,80.1,50,6.0,5.33,17.28
I5,2017-07-11,8,1.42,1.18,-0.48,0.30,.,0.04,0.29,22.1,25.06,.,0.08,.,.,41.42,2.96,298.58,24.86,502,599,0.203,.,.,69.7,55,5.9,5.31,23.78
I6 Headwater Lake,2017-07-11,1,0.89,0.71,-0.35,0.07,.,0.03,0.00,16.7,18.69,.,0.05,.,.,27.87,1.99,241.47,20.10,378,1028,0.996,.,.,261.1,148,11.5,5.18,41.54
I6 Headwater Lake,2017-07-11,5,2.12,2.60,0.92,0.16,.,0.04,0.01,15.5,19.68,.,0.10,.,.,58.61,4.18,470.63,39.18,371,1157,0.995,.,.,208.4,162,11.0,5.27,49.50
I6 Headwater Lake,2017-07-11,6,4.26,5.17,1.76,0.10,.,0.04,0.00,11.5,16.54,.,0.07,.,.,70.63,5.04,768.33,63.97,365,1223,1.001,.,.,170.1,183,11.1,0.16,60.99
I6,2017-07-12,1,0.81,0.98,0.32,0.14,.,0.04,0.01,16.3,18.78,.,0.07,.,.,34.80,2.48,242.37,20.18,461,444,0.406,.,.,199.2,42,8.5,6.22,13.51
I6,2017-07-12,4,1.18,1.45,0.51,0.30,.,0.03,0.09,17.0,20.08,.,0.07,.,.,43.09,3.08,283.07,23.57,465,462,0.398,.,.,195.9,42,8.3,6.18,13.04
I6,2017-07-12,12,0.48,0.74,0.51,0.79,.,0.03,0.39,19.6,22.51,.,0.07,.,.,40.75,2.91,277.84,23.13,460,686,0.397,.,.,199.3,41,8.5,6.45,21.91
I7,2017-07-12,1,0.83,1.03,0.39,0.10,.,0.03,0.05,15.7,18.64,.,0.07,.,.,41.17,2.94,288.41,24.01,451,435,0.409,.,.,199.6,41,8.8,6.84,12.68
I7,2017-07-12,4,1.25,1.61,0.69,0.07,.,0.03,0.01,14.7,18.12,.,0.07,.,.,47.97,3.42,303.05,25.23,452,472,0.353,.,.,177.0,37,7.8,6.73,12.24
I7,2017-07-12,10,0.49,0.85,0.70,1.02,.,0.03,0.46,17.6,21.31,.,0.06,.,.,51.93,3.71,372.33,31.00,444,610,0.331,.,.,168.7,35,7.5,6.91,19.90
I8,2017-07-12,1,2.19,2.62,0.83,0.05,.,0.03,0.02,15.1,19.36,.,0.06,.,.,59.65,4.26,438.68,36.52,318,713,0.705,.,.,354.8,68,11.3,6.06,11.90
I8,2017-07-12,5,4.05,5.12,2.07,0.03,.,0.04,0.00,10.0,17.00,.,0.18,.,.,98.07,7.00,605.82,50.44,302,763,0.670,.,.,330.4,63,11.1,6.60,15.07
I8,2017-07-12,7,10.50,5.54,-9.63,0.51,.,0.05,0.13,13.2,20.60,.,0.05,.,.,103.59,7.40,632.20,52.64,297,637,0.476,.,.,310.4,60,10.9,7.10,25.54
I Swamp,2017-07-12,1,1.80,2.19,0.76,0.12,.,0.03,0.17,18.8,22.50,.,0.07,.,.,51.85,3.70,392.99,32.72,377,617,0.592,.,.,283.5,52,9.2,6.21,12.76
I Swamp,2017-07-12,3,1.93,2.58,1.26,0.14,.,0.03,1.09,14.5,18.12,.,0.06,.,.,50.65,3.62,369.90,30.80,376,686,0.619,.,.,298.7,54,9.5,6.16,14.00
E 05,2017-07-13,0,1.27,1.52,0.48,0.14,.,0.05,0.00,12.1,15.86,.,0.06,7.01,0.23,52.73,3.76,397.54,33.10,442,155,0.104,.,.,64.2,19,9.7,4.64,32.76
E 05,2017-07-13,1,1.26,1.53,0.53,0.15,.,0.05,0.00,15.1,19.08,.,0.06,6.38,0.21,55.73,3.98,418.29,34.83,437,169,0.108,.,.,64.0,19,9.7,4.67,32.96
E 05,2017-07-13,3,1.57,1.97,0.77,0.18,.,0.03,0.00,12.6,16.92,.,0.05,6.85,0.22,60.52,4.32,447.51,37.26,441,219,0.107,.,.,64.0,19,9.5,4.67,32.87
