lake,date,depth_m,corrected_chl_ug_l,total_chl_ug_l,pheo_ug_l,po4_u_m,no3_u_m,tdn_u_m,tn_u_m,tp_u_m,tdp_u_m,pp_ug_l,pn_ug_l,pc_ug_l,alk_meq_l
Toolik,2013-08-09T00:00:00Z,1,0.67,0.82,0.28,0.02,0.09,NA,NA,NA,0.04,NA,47.29,330.72,0.698
Toolik,2013-08-09T00:00:00Z,3,1.02,1.17,0.28,0.03,0.05,NA,NA,NA,0.07,NA,48.75,330.12,0.7
Toolik,2013-08-09T00:00:00Z,5,1.2,1.36,0.31,0.03,0.09,NA,NA,NA,0.04,NA,52.31,366.14,0.7
Toolik,2013-08-09T00:00:00Z,8,1.1,1.2,0.18,0.02,0.93,NA,NA,NA,0.05,NA,44.52,287.29,0.674
Toolik,2013-08-09T00:00:00Z,12,0.51,0.66,0.29,0.05,2.22,NA,NA,NA,0.05,NA,38.82,262.56,0.685
Toolik,2013-08-09T00:00:00Z,16,0.36,0.49,0.24,0.03,2.45,NA,NA,NA,0.07,NA,41.93,272.86,NA
Toolik,2013-08-09T00:00:00Z,20,0.26,0.42,0.3,0.03,2.56,NA,NA,NA,0.08,NA,38.34,265.39,NA
Toolik,2013-08-09T00:00:00Z,1,1.26,1.42,0.3,0.02,0.03,NA,NA,NA,0.07,NA,49.49,347.39,NA
I1,2013-08-13T00:00:00Z,1,0.76,0.86,0.19,0.04,0.24,20,23.407930673868126,NA,0.08,NA,47.74,302.23,0.246
I1,2013-08-13T00:00:00Z,7,0.61,0.78,0.33,0.04,0.53,17.3,22.36974213884095,NA,0.09,NA,71.02,431.52,0.253
I1,2013-08-13T00:00:00Z,9,1.3,1.56,0.49,0.04,0.83,18.7,22.596617662116046,NA,0.09,NA,54.58,406.74,NA
I2,2013-08-13T00:00:00Z,1,0.94,0.98,0.06,0.03,0.22,17.8,21.05164044173101,NA,0.08,NA,45.55,345.51,0.201
I2,2013-08-13T00:00:00Z,5,0.52,0.62,0.19,0.04,0.1,18.3,21.583001877507144,NA,0.07,NA,45.99,326.18,0.192
I2,2013-08-13T00:00:00Z,14,0.15,0.23,0.15,0.04,2.04,19.3,22.95537584845346,NA,0.13,NA,51.2,389.67,NA
I3,2013-08-13T00:00:00Z,1,1.6,1.8,0.39,0.04,0.02,18,22.69909132370651,NA,0.09,NA,65.82,494.41,0.228
I3,2013-08-13T00:00:00Z,4,0.75,0.95,0.37,0.18,0.02,19.5,24.313853500777427,NA,0.07,NA,67.43,536.27,0.215
I4,2013-08-13T00:00:00Z,1,1.91,2.2,0.54,0.03,0.15,23.8,31.165847258165186,NA,0.1,NA,103.18,757.89,0.181
I4,2013-08-13T00:00:00Z,5,1.19,1.46,0.52,0.04,0.11,17.7,23.42523060967843,NA,0.11,NA,80.2,673.7,0.17
I4,2013-08-13T00:00:00Z,6,0.88,1.28,0.76,0.08,0.61,19.4,26.207372459536302,NA,0.29,NA,95.35,1074.31,NA
I5,2013-08-13T00:00:00Z,1,1.52,1.76,0.44,0.03,0.06,17,20.890456598146436,NA,0.09,NA,54.5,396.26,0.176
I5,2013-08-13T00:00:00Z,6,0.48,0.74,0.49,0.05,0.11,16,19.773856388209524,NA,0.13,NA,52.86,365.55,0.169
I5,2013-08-13T00:00:00Z,8,0.31,0.6,0.55,0.04,1,17,21.22411157077677,NA,0.14,NA,59.17,435.38,NA
I6,2013-08-13T00:00:00Z,1,0.86,0.96,0.18,0.05,0.06,17.3,19.578731528772128,NA,0.08,NA,31.92,230.42,NA
I6,2013-08-13T00:00:00Z,5,0.64,0.82,0.32,0.04,0.65,17.8,22.02279591573018,NA,0.08,NA,59.15,433.89,1.028
I6,2013-08-13T00:00:00Z,6,0.94,1.11,0.31,0.03,0.68,17.3,20.774429346632605,NA,0.06,NA,48.67,389.93,NA
I6,2013-08-14T00:00:00Z,1,1.19,1.38,0.36,0.04,0.12,16.1,21.013624222285024,NA,0.06,NA,68.83,467,0.348
I6,2013-08-14T00:00:00Z,5,0.8,0.95,0.28,0.04,0.31,16,20.299146859770183,NA,0.13,NA,60.22,416.28,0.348
I6,2013-08-14T00:00:00Z,12,0.22,0.42,0.38,0.04,1.75,18.7,23.084270756876837,NA,0.08,NA,61.41,432.66,NA
I7,2013-08-14T00:00:00Z,1,1.39,1.56,0.33,0.04,0.26,17.1,21.33470083240604,NA,0.08,NA,59.32,437.17,0.393
I7,2013-08-14T00:00:00Z,5,0.62,0.87,0.46,0.04,0.26,16.3,20.127691429641022,NA,0.12,NA,53.62,377.46,0.313
I7,2013-08-14T00:00:00Z,10,0.4,0.68,0.53,0.04,1.36,18.7,23.163535924223115,NA,0.13,NA,62.52,510.96,NA
I8,2013-08-14T00:00:00Z,1,3.04,3.36,0.62,0.04,NA,17.5,22.01962464589967,NA,0.08,NA,63.31,462.59,0.932
I8,2013-08-14T00:00:00Z,5,1.96,2.24,0.54,0.04,0.07,16.9,21.056297242965694,NA,0.09,NA,58.22,421.77,0.915
I8,2013-08-14T00:00:00Z,7,1.42,1.66,0.46,0.05,0.03,16.7,20.942627349140665,NA,0.07,NA,59.43,429.35,NA
Toolik,2013-08-16T00:00:00Z,0,1.43,1.61,0.35,0.02,0.12,NA,NA,NA,0.06,NA,52.75,362.05,0.716
Toolik,2013-08-16T00:00:00Z,1,1.54,1.72,0.34,0.03,0.09,NA,NA,NA,0.07,NA,53.42,372.69,0.712
Toolik,2013-08-16T00:00:00Z,3,1.48,1.67,0.35,0.03,0.05,NA,NA,NA,0.06,NA,50.95,356.62,0.715
Toolik,2013-08-16T00:00:00Z,5,1.32,1.48,0.3,0.03,0.04,NA,NA,NA,0.05,NA,60.04,399.85,0.72
Toolik,2013-08-16T00:00:00Z,8,0.99,1.14,0.29,0.03,0.78,NA,NA,NA,0.07,NA,45.36,303.47,0.684
Toolik,2013-08-16T00:00:00Z,12,0.52,0.69,0.33,0.03,1.97,NA,NA,NA,0.06,NA,44.47,288.8,0.686
Toolik,2013-08-16T00:00:00Z,16,0.21,0.37,0.32,0.03,2.49,NA,NA,NA,0.07,NA,41.2,282.78,NA
Toolik,2013-08-16T00:00:00Z,20,0.19,0.36,0.33,0.04,2.77,NA,NA,NA,0.06,NA,46.25,305.57,NA
Toolik,2013-08-16T00:00:00Z,1,1.55,1.76,0.4,0.03,0.2,NA,NA,NA,0.08,NA,48.78,349.49,NA
Toolik,2013-08-28T00:00:00Z,0,1.29,1.49,0.38,NA,0.25,13,16.713557205116874,NA,0.07,NA,52.02,330.47,NA
Toolik,2013-08-28T00:00:00Z,1,1.34,1.54,0.36,NA,0.17,14,17.82321947005276,NA,0.08,NA,53.56,351.84,NA
Toolik,2013-08-28T00:00:00Z,3,1.47,1.66,0.37,NA,0.24,14.6,18.183879363569318,NA,0.07,NA,50.2,341.96,NA
Toolik,2013-08-28T00:00:00Z,5,1.44,1.63,0.36,NA,0.19,13.4,16.917289079842018,NA,0.08,NA,49.27,332.06,NA
Toolik,2013-08-28T00:00:00Z,8,1.44,1.63,0.35,NA,0.26,14.6,18.323449518942258,NA,0.08,NA,52.16,342.23,NA
Toolik,2013-08-28T00:00:00Z,12,1.06,1.24,0.35,NA,0.7,14.5,17.537069207135772,NA,0.05,NA,42.54,290.06,NA
Toolik,2013-08-28T00:00:00Z,16,0.35,0.47,0.23,NA,2.06,15.2,17.713276963805654,NA,0.05,NA,35.21,231.45,NA
Toolik,2013-08-28T00:00:00Z,20,0.21,0.35,0.27,NA,1.22,15.9,18.475787149223653,NA,0.06,NA,36.08,236.17,NA
Toolik,2013-09-07T00:00:00Z,0,1.66,1.84,0.33,NA,0.35,NA,NA,NA,0.04,NA,43.83,315.99,NA
Toolik,2013-09-07T00:00:00Z,1,1.6,1.78,0.34,NA,0.38,15.1,18.557550281954867,NA,0.09,NA,48.43,344.44,NA
Toolik,2013-09-07T00:00:00Z,3,1.6,1.77,0.33,NA,0.37,15.2,18.404699661258544,NA,0.06,NA,44.89,326.5,NA
Toolik,2013-09-07T00:00:00Z,5,1.52,1.72,0.38,NA,0.28,14.2,17.188454450865496,NA,0.05,NA,41.86,302.76,NA
Toolik,2013-09-07T00:00:00Z,8,1.6,1.77,0.32,NA,0.28,13.7,17.210630051469288,NA,0.08,NA,49.18,335.76,NA
Toolik,2013-09-07T00:00:00Z,12,1.57,1.77,0.39,NA,0.51,13.5,15.886524475762881,NA,0.07,NA,33.43,241.48,NA
Toolik,2013-09-07T00:00:00Z,16,1.53,1.74,0.4,NA,0.38,15.8,19.155509332728812,NA,0.06,NA,47,344.73,NA
Toolik,2013-09-07T00:00:00Z,20,1.58,1.77,0.35,NA,0.38,13.9,17.08325989938796,NA,0.06,NA,44.59,320.76,NA
Toolik,2013-09-13T00:00:00Z,0,1.82,2,0.35,NA,0.29,16,19.61659713303071,NA,0.06,NA,50.66,336.92,NA
Toolik,2013-09-13T00:00:00Z,1,1.86,2.04,0.35,NA,0.26,13.5,16.77925768413703,NA,0.05,NA,45.94,321.13,NA
Toolik,2013-09-13T00:00:00Z,3,1.86,2.04,0.36,NA,0.31,12.8,16.14099803968535,NA,0.04,NA,46.8,329.1,NA
Toolik,2013-09-13T00:00:00Z,5,1.67,1.86,0.36,NA,0.29,13,16.237994803122195,NA,0.05,NA,45.36,312.65,NA
Toolik,2013-09-13T00:00:00Z,8,1.86,2.04,0.35,NA,0.3,13.6,16.694883430348725,NA,0.05,NA,43.35,297.44,NA
Toolik,2013-09-13T00:00:00Z,12,1.83,2,0.33,NA,0.25,12.9,16.108664285087396,NA,0.04,NA,44.95,304.64,NA
Toolik,2013-09-13T00:00:00Z,16,1.81,2,0.37,NA,0.23,15.1,18.344307408053567,NA,0.06,NA,45.45,308.57,NA
Toolik,2013-09-13T00:00:00Z,20,1.79,2,0.41,NA,0.28,13.1,16.830878377184668,NA,0.05,NA,52.26,346.19,NA
Toolik,2014-06-13T00:00:00Z,0,1.18,1.24,0.11,0.04,1.43,15,NA,NA,NA,NA,NA,NA,0.333
Toolik,2014-06-13T00:00:00Z,1,1.12,1.18,0.12,0.04,1.58,NA,NA,NA,NA,NA,NA,NA,0.341
Toolik,2014-06-13T00:00:00Z,1,1.2,1.26,0.11,0.04,1.59,17.1,NA,NA,NA,NA,NA,NA,NA
Toolik,2014-06-13T00:00:00Z,3,0.57,0.65,0.16,0.05,1.48,16.9,NA,NA,NA,NA,NA,NA,0.368
Toolik,2014-06-13T00:00:00Z,5,0.8,0.88,0.15,0.04,1.85,17.4,NA,NA,NA,NA,NA,NA,0.368
Toolik,2014-06-13T00:00:00Z,6,0.47,0.6,0.24,0.04,1.63,18.3,NA,NA,NA,NA,NA,NA,0.401
Fog 01,2014-06-18T00:00:00Z,0,1.09,1.14,0.11,0.04,0.78,11,14.46,NA,0.08,NA,48.53,345.61,0.762
Fog 01,2014-06-18T00:00:00Z,1,0.9,1.13,0.45,0.03,1.09,10.8,14.57,NA,0.09,NA,52.74,370.99,0.773
Fog 01,2014-06-18T00:00:00Z,3,0.72,1.22,0.96,0.03,0.07,18.4,22.959999999999997,NA,0.77,NA,63.87,438.99,1.652
Fog 01,2014-06-18T00:00:00Z,5,0.95,1.45,0.96,0.03,1.19,16.2,20.35,NA,0.08,NA,58.19,387.81,1.649
Fog 01,2014-06-18T00:00:00Z,8,2.71,1.68,-2.01,0.03,1.15,15.5,18.34,NA,0.07,NA,39.76,350.91,1.66
Fog 02,2014-06-18T00:00:00Z,0,0.13,0.67,1.04,0.04,1.31,10.2,13.18,NA,0.07,NA,41.7,328.44,0.698
Fog 03,2014-06-18T00:00:00Z,0,1.04,1.1,0.12,0.03,1.38,17.9,22.7,NA,0.03,NA,67.2,477.42,0.829
Fog 03,2014-06-18T00:00:00Z,1,1.37,1.48,0.22,0.02,1.01,18.4,22.549999999999997,NA,0.02,NA,58.14,411.97,0.825
Fog 03,2014-06-18T00:00:00Z,3,1.33,1.46,0.24,0.02,0.76,16.7,20.369999999999997,NA,0.06,NA,51.36,464.49,0.834
Fog 03,2014-06-18T00:00:00Z,5,1.59,1.83,0.45,0.03,0.45,15.3,18.490000000000002,NA,0.04,NA,44.65,364.35,0.833
Fog 03,2014-06-18T00:00:00Z,8,1.31,1.44,0.26,0.03,0.26,17.4,20.39,NA,0.04,NA,41.91,352.27,1.044
Fog 03,2014-06-18T00:00:00Z,12,1.46,1.73,0.52,0.03,1.52,19.5,22.38,NA,0.03,NA,40.31,319.12,1.124
Fog 03,2014-06-18T00:00:00Z,16,1.09,1.4,0.58,0.03,0.67,18.8,21.28,NA,0.04,NA,34.67,287.43,1.162
Fog 04,2014-06-18T00:00:00Z,0,0.97,1.12,0.29,0.03,1.68,14.3,17.79,NA,0.05,NA,48.87,360.07,0.73
Fog 04,2014-06-18T00:00:00Z,1,0.94,1.1,0.3,0.03,1.34,15.8,19.18,NA,0.05,NA,47.4,350.7,0.733
Fog 04,2014-06-18T00:00:00Z,3,1.85,2.14,0.55,0.03,1.82,19.4,23.4,NA,0.06,NA,55.98,420.16,0.941
Fog 05,2014-06-18T00:00:00Z,0,0.75,0.82,0.15,0.02,0.18,18.4,20.619999999999997,NA,0.03,NA,31.06,233.11,0.583
Fog 05,2014-06-18T00:00:00Z,1,0.71,0.78,0.14,0.03,0.34,17.8,20.94,NA,0.04,NA,43.99,310.13,0.581
Fog 05,2014-06-18T00:00:00Z,3,0.69,0.77,0.16,0.03,1.51,20.2,23.33,NA,0.04,NA,43.87,309.77,0.586
Fog 05,2014-06-18T00:00:00Z,5,0.62,0.7,0.16,0.04,1.19,15.7,19.25,NA,0.02,NA,49.7,372.05,0.606
Fog 05,2014-06-18T00:00:00Z,8,1.7,2.08,0.75,0.04,0.42,29.9,33.83,NA,0.02,NA,55.03,455.68,1.435
Toolik,2014-06-20T00:00:00Z,0,0.7,0.81,0.2,0.03,0.34,14.3,NA,NA,NA,NA,NA,NA,0.476
Toolik,2014-06-20T00:00:00Z,1,0.63,0.73,0.19,0.04,1.25,18.4,NA,NA,NA,NA,NA,NA,NA
Toolik,2014-06-20T00:00:00Z,1,0.7,0.83,0.23,0.04,1.33,NA,NA,NA,NA,NA,NA,NA,0.473
Toolik,2014-06-20T00:00:00Z,3,0.83,0.92,0.18,0.03,1.45,14.9,NA,NA,NA,NA,NA,NA,0.467
Toolik,2014-06-20T00:00:00Z,5,0.61,0.71,0.19,0.03,0.94,16.6,NA,NA,NA,NA,NA,NA,0.574
NE 14,2014-06-23T00:00:00Z,3,0.49,0.52,0.06,0.04,0.15,7.7,NA,NA,NA,NA,NA,NA,1.567
NE 14,2014-06-23T00:00:00Z,10,0.7,0.77,0.13,0.03,0.21,8,NA,NA,NA,NA,NA,NA,1.868
NE 14,2014-06-23T00:00:00Z,16,1.98,2.08,0.19,0.03,NA,11,NA,NA,NA,NA,NA,NA,2.074
I1,2014-06-24T00:00:00Z,1,1.91,2.15,0.46,0.04,1.14,16.9,NA,NA,NA,NA,NA,NA,0.242
I1,2014-06-24T00:00:00Z,5,2,2.23,0.45,0.04,0.7,17.1,NA,NA,NA,NA,NA,NA,0.24
I1,2014-06-24T00:00:00Z,9,1.53,1.72,0.36,0.03,0.76,16.9,NA,NA,NA,NA,NA,NA,0.244
I2,2014-06-24T00:00:00Z,1,2.05,2.29,0.48,0.02,2.21,17.4,NA,NA,NA,NA,NA,NA,0.188
I2,2014-06-24T00:00:00Z,6,2.1,2.33,0.45,0.03,2.36,19.9,NA,NA,NA,NA,NA,NA,0.19
I2,2014-06-24T00:00:00Z,14,2.05,2.28,0.45,0.02,2.18,19.5,NA,NA,NA,NA,NA,NA,0.197
I3,2014-06-24T00:00:00Z,1,1.58,1.83,0.48,0.02,0.54,18.3,NA,NA,NA,NA,NA,NA,0.161
I3,2014-06-24T00:00:00Z,3,1.67,1.88,0.42,0.03,0.78,19.5,NA,NA,NA,NA,NA,NA,0.173
I4,2014-06-24T00:00:00Z,1,2.79,3.32,1.01,0.03,0.44,17.4,NA,NA,NA,NA,NA,NA,0.143
I4,2014-06-24T00:00:00Z,4,2.41,2.92,0.98,0.03,1.14,14.7,NA,NA,NA,NA,NA,NA,0.142
I4,2014-06-24T00:00:00Z,6,1.08,1.51,0.84,0.06,1.11,15,NA,NA,NA,NA,NA,NA,0.141
I5,2014-06-24T00:00:00Z,1,4.23,4.97,1.43,0.07,1.2,15.2,NA,NA,NA,NA,NA,NA,0.171
I5,2014-06-24T00:00:00Z,5,2.85,3.25,0.77,0.02,0.81,13.9,NA,NA,NA,NA,NA,NA,0.173
I5,2014-06-24T00:00:00Z,8,2.51,2.84,0.64,0.03,0.78,15.2,NA,NA,NA,NA,NA,NA,0.173
I6,2014-06-24T00:00:00Z,1,2.43,2.69,0.49,0.03,1.57,17,NA,NA,NA,NA,NA,NA,0.877
I6,2014-06-24T00:00:00Z,4,7.49,8.2,1.37,0.03,1.13,13.9,NA,NA,NA,NA,NA,NA,0.899
I6,2014-06-24T00:00:00Z,6,1.07,1.24,0.32,0.03,1.96,17.3,NA,NA,NA,NA,NA,NA,0.904
I6,2014-06-25T00:00:00Z,1,2.07,2.2,0.26,0.02,0.59,15.7,NA,NA,NA,NA,NA,NA,0.29
I6,2014-06-25T00:00:00Z,3,3.23,3.62,0.75,0.03,0.77,13.6,NA,NA,NA,NA,NA,NA,0.294
I6,2014-06-25T00:00:00Z,12,0.5,0.71,0.41,0.02,1.28,17.7,NA,NA,NA,NA,NA,NA,0.375
I7,2014-06-25T00:00:00Z,1,1.78,2,0.42,0.02,0.53,12.6,NA,NA,NA,NA,NA,NA,0.283
I7,2014-06-25T00:00:00Z,2,3.1,3.42,0.63,0.03,1.44,15.5,NA,NA,NA,NA,NA,NA,0.29
I7,2014-06-25T00:00:00Z,10,0.44,0.69,0.49,0.03,0.84,17.6,NA,NA,NA,NA,NA,NA,0.273
I8,2014-06-25T00:00:00Z,1,2.58,2.74,0.31,0.03,1.02,13.8,NA,NA,NA,NA,NA,NA,0.579
I8,2014-06-25T00:00:00Z,3,2.87,3.08,0.4,0.03,0.59,17.6,NA,NA,NA,NA,NA,NA,0.56
I8,2014-06-25T00:00:00Z,7,0.61,0.73,0.23,0.03,1.1,18.8,NA,NA,NA,NA,NA,NA,0.545
Toolik,2014-06-27T00:00:00Z,0,3,3.22,0.43,0.04,2.27,18.9,NA,NA,NA,NA,NA,NA,0.765
Toolik,2014-06-27T00:00:00Z,1,3.14,3.3,0.32,0.05,0.96,15.6,NA,NA,NA,NA,NA,NA,0.69
Toolik,2014-06-27T00:00:00Z,1,2.49,2.78,0.57,0.05,2.05,NA,NA,NA,NA,NA,NA,NA,NA
Toolik,2014-06-27T00:00:00Z,3,2.67,3.04,0.73,0.05,1.02,17.1,NA,NA,NA,NA,NA,NA,0.689
Toolik,2014-06-27T00:00:00Z,5,1.79,2.08,0.57,0.05,1.2,15.4,NA,NA,NA,NA,NA,NA,0.691
Toolik,2014-06-27T00:00:00Z,8,0.51,0.65,0.25,0.05,2.61,18.9,NA,NA,NA,NA,NA,NA,0.713
Toolik,2014-06-27T00:00:00Z,12,0.35,0.45,0.19,0.04,2.34,19.1,NA,NA,NA,NA,NA,NA,0.742
Toolik,2014-06-27T00:00:00Z,16,0.39,0.52,0.23,0.04,3.47,17.4,NA,NA,NA,NA,NA,NA,0.78
Toolik,2014-06-27T00:00:00Z,20,0.32,0.42,0.2,0.05,3.91,19.5,NA,NA,NA,NA,NA,NA,0.793
Fog 01,2014-07-03T00:00:00Z,1,0.52,0.57,0.09,0.03,1.1,14.4,17.8,NA,0.06,NA,47.6,355.29,1.225
Fog 01,2014-07-03T00:00:00Z,3,0.75,0.79,0.09,0.04,0.7,13.2,15.91,NA,0.07,NA,37.98,293.19,1.297
Fog 01,2014-07-03T00:00:00Z,6,1.21,1.31,0.2,0.05,1.04,17.4,20.61,NA,0.05,NA,45,361.32,1.354
Fog 01,2014-07-03T00:00:00Z,16,0.84,1.11,0.53,0.05,0.04,17.6,20.43,NA,0.05,NA,39.61,274.03,1.679
Fog 04,2014-07-03T00:00:00Z,0,0.98,1.05,0.14,0.08,0.48,20.4,23.779999999999998,NA,0.07,NA,47.34,295.45,0.801
Fog 04,2014-07-03T00:00:00Z,1,NA,0.72,NA,0.05,1.68,20.3,23.900000000000002,NA,0.09,NA,50.38,295.01,0.791
Fog 04,2014-07-03T00:00:00Z,3,1.16,1.34,0.36,0.07,0.68,22,25.96,NA,0.06,NA,55.52,325.95,0.804
Fog 05,2014-07-03T00:00:00Z,1,0.29,0.34,0.09,0.06,0.16,18.3,23.380000000000003,NA,0.05,NA,71.16,443.65,0.673
Fog 05,2014-07-03T00:00:00Z,3,1.07,1.18,0.21,0.07,1.11,17,20.48,NA,0.05,NA,48.8,300.13,0.619
Fog 05,2014-07-03T00:00:00Z,5,0.66,0.85,0.37,0.06,0.06,16.3,19.35,NA,0.04,NA,42.7,279.62,0.665
Fog 05,2014-07-03T00:00:00Z,8,0.1,0.33,0.45,0.06,1.22,36.5,41.7,NA,0.06,NA,72.86,716.82,1.629
Fog 02,2014-07-04T00:00:00Z,1,0.5,0.59,0.16,0.03,1.11,11.7,14.379999999999999,NA,0.06,NA,37.48,272.54,1.275
Fog 02,2014-07-04T00:00:00Z,3,0.51,0.59,0.16,0.04,0.54,14.8,17.47,NA,0.06,NA,37.34,264.68,1.277
Fog 02,2014-07-04T00:00:00Z,8,1.96,2.08,0.24,0.03,1.29,14.6,17.57,NA,0.07,NA,41.61,323.42,1.472
Fog 02,2014-07-04T00:00:00Z,16,0.83,1.1,0.53,0.06,0.26,12.9,15.790000000000001,NA,0.07,NA,40.43,299.72,1.633
Fog 03,2014-07-04T00:00:00Z,1,0.53,0.56,0.04,0.06,1.62,19.8,23.05,NA,0.04,NA,45.59,376.55,0.93
Fog 03,2014-07-04T00:00:00Z,3,0.95,1.08,0.25,0.04,1.85,19.7,23.08,NA,0.08,NA,47.31,335.26,0.877
Fog 03,2014-07-04T00:00:00Z,6,1.65,1.9,0.48,0.04,1.07,15.7,19.77,NA,0.08,NA,57,341.89,0.895
Fog 03,2014-07-04T00:00:00Z,16,0.61,0.8,0.38,0.05,1.04,24.2,26.869999999999997,NA,0.03,NA,37.4,277.51,1.133
Toolik,2014-07-04T00:00:00Z,0,2.14,2.46,0.62,0.04,0.8,16.7,NA,NA,NA,NA,NA,NA,0.695
Toolik,2014-07-04T00:00:00Z,1,2.38,2.7,0.63,0.03,0.9,15.1,NA,NA,NA,NA,NA,NA,NA
Toolik,2014-07-04T00:00:00Z,1,2.09,2.38,0.57,0.04,1.07,NA,NA,NA,NA,NA,NA,NA,0.698
Toolik,2014-07-04T00:00:00Z,3,3.98,4.6,1.2,0.04,0.4,18.6,NA,NA,NA,NA,NA,NA,0.709
Toolik,2014-07-04T00:00:00Z,5,3.23,3.72,0.94,0.03,1.43,17.4,NA,NA,NA,NA,NA,NA,0.711
Toolik,2014-07-04T00:00:00Z,8,0.79,1.14,0.67,0.03,1.94,16.6,NA,NA,NA,NA,NA,NA,0.714
Toolik,2014-07-04T00:00:00Z,12,0.39,0.61,0.43,0.03,2.23,16.3,NA,NA,NA,NA,NA,NA,0.722
Toolik,2014-07-04T00:00:00Z,16,-0.9,NA,1.74,0.03,2.05,19.8,NA,NA,NA,NA,NA,NA,0.733
Toolik,2014-07-04T00:00:00Z,20,0.34,0.56,0.41,0.03,2.91,19.2,NA,NA,NA,NA,NA,NA,0.744
NE 14,2014-07-08T00:00:00Z,3,0.3,0.32,0.03,0.07,0.22,7.2,NA,NA,NA,NA,NA,NA,1.73
NE 14,2014-07-08T00:00:00Z,9,2.7,1.79,-1.77,0.06,0.05,8.4,NA,NA,NA,NA,NA,NA,1.799
NE 14,2014-07-08T00:00:00Z,16,1.13,1.6,0.89,0.07,0.02,9.4,NA,NA,NA,NA,NA,NA,1.995
Toolik,2014-07-11T00:00:00Z,0,0.92,1.01,0.18,0.02,1.2,15.9,NA,NA,NA,NA,NA,NA,0.699
Toolik,2014-07-11T00:00:00Z,1,1.07,1.16,0.18,0.03,0.7,18.5,NA,NA,NA,NA,NA,NA,NA
Toolik,2014-07-11T00:00:00Z,1,0.98,1.05,0.14,0.03,1.93,NA,NA,NA,NA,NA,NA,NA,0.69
Toolik,2014-07-11T00:00:00Z,3,1.83,2.04,0.41,0.04,0.24,17.2,NA,NA,NA,NA,NA,NA,0.699
Toolik,2014-07-11T00:00:00Z,5,4.52,5.04,1.01,0.05,0.28,14.3,NA,NA,NA,NA,NA,NA,0.704
Toolik,2014-07-11T00:00:00Z,8,1.06,1.28,0.42,0.05,1.38,15.3,NA,NA,NA,NA,NA,NA,0.716
Toolik,2014-07-11T00:00:00Z,12,0.38,0.54,0.3,0.05,3.11,17.5,NA,NA,NA,NA,NA,NA,0.733
Toolik,2014-07-11T00:00:00Z,16,0.35,0.51,0.31,0.06,2.89,17.2,NA,NA,NA,NA,NA,NA,0.733
Toolik,2014-07-11T00:00:00Z,20,0.38,0.55,0.32,0.06,3.21,NA,NA,NA,NA,NA,NA,NA,0.735
I1,2014-07-15T00:00:00Z,1,0.83,0.92,0.16,0.03,1.45,16.7,NA,NA,NA,NA,NA,NA,0.228
I1,2014-07-15T00:00:00Z,6,1.9,1.87,-0.06,0.04,0.05,20.6,NA,NA,NA,NA,NA,NA,0.236
I1,2014-07-15T00:00:00Z,9,0.95,1.2,0.47,0.03,1.41,NA,NA,NA,NA,NA,NA,NA,0.237
I2,2014-07-15T00:00:00Z,1,0.65,0.74,0.16,0.04,2.08,21.7,NA,NA,NA,NA,NA,NA,0.183
I2,2014-07-15T00:00:00Z,5,0.66,0.83,0.33,0.04,2.59,19.5,NA,NA,NA,NA,NA,NA,0.184
I2,2014-07-15T00:00:00Z,14,0.16,0.31,0.29,0.05,2.51,23.7,NA,NA,NA,NA,NA,NA,0.189
I3,2014-07-15T00:00:00Z,1,1.01,1.24,0.44,0.04,0.17,19.6,NA,NA,NA,NA,NA,NA,0.2
I3,2014-07-15T00:00:00Z,3,0.83,1.02,0.37,0.04,1.86,19.1,NA,NA,NA,NA,NA,NA,0.198
I4,2014-07-15T00:00:00Z,1,0.84,1.02,0.35,0.08,NA,20.4,NA,NA,NA,NA,NA,NA,0.154
I4,2014-07-15T00:00:00Z,5,0.97,1.34,0.7,0.06,0.21,14.6,NA,NA,NA,NA,NA,NA,0.09
I4,2014-07-15T00:00:00Z,6,0.51,0.85,0.66,0.1,1.77,21.8,NA,NA,NA,NA,NA,NA,0.145
I5,2014-07-15T00:00:00Z,1,0.63,0.76,0.25,0.03,1.49,18.3,NA,NA,NA,NA,NA,NA,0.151
I5,2014-07-15T00:00:00Z,5,1.09,1.27,0.33,0.03,1.59,13.7,NA,NA,NA,NA,NA,NA,0.171
I5,2014-07-15T00:00:00Z,8,0.45,0.66,0.4,0.04,0.23,16.5,NA,NA,NA,NA,NA,NA,0.149
I6,2014-07-15T00:00:00Z,1,0.49,0.54,0.08,0.04,1.66,13.4,NA,NA,NA,NA,NA,NA,0.851
I6,2014-07-15T00:00:00Z,4,1.38,1.53,0.27,0.04,0.32,17.8,NA,NA,NA,NA,NA,NA,0.865
I6,2014-07-15T00:00:00Z,6,1.09,1.48,0.73,0.04,1.73,20.6,NA,NA,NA,NA,NA,NA,0.886
I6,2014-07-16T00:00:00Z,1,0.52,0.59,0.13,0.04,0.4,22.7,NA,NA,NA,NA,NA,NA,0.298
I6,2014-07-16T00:00:00Z,5,0.53,0.62,0.17,0.06,1.03,14.1,NA,NA,NA,NA,NA,NA,0.314
I6,2014-07-16T00:00:00Z,12,0.19,0.27,0.14,0.04,0.68,16.4,NA,NA,NA,NA,NA,NA,0.33
I7,2014-07-16T00:00:00Z,1,0.68,0.74,0.12,0.05,0.52,20.8,NA,NA,NA,NA,NA,NA,0.342
