lake,longitude_utm,latitude_utm,state,source,state_lake_id,epa_lake_id,date,year,CHL_ugL,TN_ugL,TP_ugL,Area_km2,Z_mean_m,Watershed_km2,AgUrb.prop
Gibson Lake,583984.4012,2602276.435,MI,MI_STORET,36_690,MI36_690,8/9/81,1981,2.6,547,17,36.911,2.7,1.65,low
Crispell Lake,946911.2409,2181235.891,MI,MI_STORET,38_559,MI38_559,9/17/81,1981,1.4,889,18,34.832,2.4,3.5,low
Sherman Lake,866562.6978,2198416.751,MI,MI_STORET,39_62,MI39_62,9/21/78,1978,4.7,476,9,59.707,4.1,1.9,low
Idlewild Lake,816421.7024,2365902.687,MI,MI_STORET,43_37,MI43_37,8/26/81,1981,1.5,367,11,42.057,2.7,1.419,low
Lake Minnawanna,1023796.734,2284360.927,MI,MI_DNR_ST,44_25,MI44_25,,2002,6,876,27,23.855,2.3,17.058,low
Lake Hudson,965255.8106,2151132.171,MI,MI_STORET,46_221,MI46_221,9/7/78,1978,14,1614,62,190.925,4,24.643,low
Sand Lake,972732.635,2176854.094,MI,MI_STORET,46_80,MI46_80,9/14/81,1981,0.57,700,13,220.682,3.4,2.623,low
Ellsworth Lake,843170.091,2509370.859,MI,MI_STORET,5_110,MI5_110,9/11/78,1978,8.3,487,16,43.024,5.2,146.274,low
Intermediate Lake,845883.5391,2496684.195,MI,MI_STORET,5_75,MI5_75,8/17/81,1981,1.6,403,8,635.799,2.6,288.5,low
Round Lake,788535.7077,2376236.484,MI,MI_STORET,53_143,MI53_143,9/10/80,1980,5.1,1111,18,218.422,1.4,5.902,low
Bergess Lake,848325.4246,2351504.144,MI,MI_STORET,54_152,MI54_152,8/24/81,1981,5.1,556,13,24.309,4.6,41.047,low
School Section Lake,860401.8068,2337919.46,MI,MI_STORET,54_57,MI54_57,8/24/81,1981,0.5,523,11,49.348,3.1,0.876,low
Hardy Dam Pond,836105.6082,2325666.563,MI,MI_STORET,54_80,MI54_80,8/25/81,1981,1.2,383,14,1273.864,9.4,4880.389,low
Little Whitefish Lake,842507.8545,2308965.508,MI,MI_STORET,59_369,MI59_369,9/15/77,1977,6.1,436,6,72.408,5.5,53.837,low
Baldwin Lake,866023.373,2289873.672,MI,MI_DNR_ST,59_99,MI59_99,,2004,3.1,556,11,24.951,1.8,3.804,low
Robinson Lake,814770.6156,2325654.506,MI,MI_DNR_ST,62_188,MI62_188,,2004,8,572,24,53.862,5.5,34.993,low
