lake,longitude_utm,latitude_utm,state,source,state_lake_id,epa_lake_id,date,year,CHL_ugL,TN_ugL,TP_ugL,Area_km2,Z_mean_m,Watershed_km2,AgUrb.prop
Round Lake,867554.3232,2541683.796,MI,MI_STORET,24_32,MI24_32,8/19/80,1980,2.3,676,11,142.929,1.7,10.072,low
C.S. Mott Impoundment,999325.0579,2299546.157,MI,MI_STORET,25_163,MI25_163,9/9/80,1980,32,1406,80,226.173,1.7,1487.876,low
Silver Lake,814554.1073,2454564.732,MI,MI_STORET,28_102,MI28_102,8/20/75,1975,1.4,392,12,246.052,6.7,21.475,low
Woodard Lake,883886.4776,2282741.707,MI,MI_STORET,34_69,MI34_69,9/4/80,1980,10,848,14,28.226,2.8,1.272,low
Coldwater Lake,884911.2455,2348223.396,MI,MI_STORET,37_109,MI37_109,8/23/76,1976,4.5,492,17,115.471,9.9,145.464,low
Littlefield Lake,884330.987,2359989.474,MI,MI_STORET,37_139,MI37_139,8/23/76,1976,1.8,282,5,56.509,9,14.811,low
Gilletts Lake,955425.5102,2198420.004,MI,MI_STORET,38_161,MI38_161,9/17/81,1981,0.5,890,17,135.27,1.4,7.001,low
Vandercook Lake,948931.8664,2190134.989,MI,MI_STORET,38_396,MI38_396,9/16/81,1981,5.8,759,22,58.594,7,163.655,low
Lime Lake,937147.5241,2188334.562,MI,MI_STORET,38_425,MI38_425,9/16/81,1981,0.79,1111,7,37.027,3.5,8.738,low
Vineyard Lake,966085.8995,2180166.532,MI,MI_STORET,38_503,MI38_503,9/14/81,1981,0.99,645,9,218.381,4.2,70.302,low
Swains Lake,929506.2827,2183532.903,MI,MI_STORET,38_612,MI38_612,9/16/81,1981,1.7,823,15,30.037,5.6,2.568,low
Paw Paw Lake,839691.2879,2174124.883,MI,MI_STORET,39_312,MI39_312,9/24/80,1980,2.3,387,8,49.975,7.4,4.6,low
Big Wabasis Lake,857627.81,2286076.108,MI,MI_STORET,41_464,MI41_464,9/2/80,1980,7,585,19,162.159,7.6,48.905,low
Davison Lake,1022363.491,2277805.235,MI,MI_STORET,44_79,MI44_79,9/10/80,1980,7.4,667,16,20.95,7.6,2.065,low
Big Fish Lake,1021198.898,2277871.044,MI,MI_DNR_ST,44_81,MI44_81,,2002,6,880,19,34.555,5,3.815,low
Cedar Lake,816014.4858,2468804.858,MI,MI_STORET,45_1,MI45_1,8/20/75,1975,1.1,747,9,99.654,8,15.929,low
South Lake Leelanau,807666.9364,2472165.453,MI,MI_STORET,45_3,MI45_3,9/12/78,1978,2.8,268,5,3483.557,9,325.395,low
Deep Lake,964764.5557,2174426.001,MI,MI_STORET,46_91,MI46_91,9/14/81,1981,1.1,614,10,28.198,7.3,5.327,low
Appleton Lake,990865.9042,2231479.798,MI,MI_STORET,47_66,MI47_66,9/25/78,1978,2.2,544,11,23.118,5.6,5.256,low
Bishop Lake,990046.9108,2230066.395,MI,MI_STORET,47_68,MI47_68,9/11/80,1980,2.8,907,12,43.465,2.7,1.744,low
St. Clair Lake,844217.7025,2512052.845,MI,MI_STORET,5_101,MI5_101,8/17/81,1981,2.1,518,13,24.025,3.1,108.753,low
Elk Lake,836369.608,2471460.179,MI,MI_STORET,5_2,MI5_2,8/20/75,1975,0.6,347,7,3247.238,20.5,1243.655,low
Stony Creek Lake,1048083.471,2263108.575,MI,MI_STORET,50_175,MI50_175,9/9/81,1981,5.8,748,42,235.664,2.4,176.495,low
Arcadia Lake,773553.2402,2427958.038,MI,MI_STORET,51_167,MI51_167,8/26/81,1981,4.2,532,21,98.246,2,63.957,low
Hackert Lake,772138.1555,2371911.207,MI,MI_STORET,53_101,MI53_101,9/9/80,1980,2.5,671,12.7,48.896,2,1.751,low
Townline Lake,845464.5445,2350207.174,MI,MI_STORET,54_153,MI54_153,8/24/81,1981,0.89,583,9,31.298,5.4,8.192,low
Merrill Lake,867030.6051,2362583.351,MI,MI_STORET,54_194,MI54_194,9/14/81,1981,3.4,798,13,34.37,2.6,3.899,low
Lake Mecosta,858508.7305,2338043.879,MI,MI_DNR_ST,54_54,MI54_54,,2002,6,332,15,126.166,3.2,45.638,low
Lake Missaukee,854057.0304,2418616.875,MI,MI_DNR_ST,57_45,MI57_45,,2004,4.5,531,14,825.217,3.2,23.647,low
Nevins Lake,875312.0835,2304105.449,MI,MI_DNR_ST,59_177,MI59_177,,2004,1,444,6,22.338,7,3.165,low
Lake Montcalm,869748.8734,2314904.91,MI,MI_DNR_ST,59_264,MI59_264,,2004,2.8,626,8,34.192,9.1,3.234,low
Horseshoe Lake,870130.7464,2317864.933,MI,MI_STORET,59_440,MI59_440,9/18/78,1978,8.7,740,20,39.338,7.4,29.76,low
East Twin Lake,791248.6939,2304687.988,MI,MI_STORET,61_109,MI61_109,9/1/81,1981,2.8,614,11,45.503,2.7,1.674,low
Englewright Lake,839042.444,2304600.546,MI,MI_STORET,62_11,MI62_11,9/3/80,1980,4.7,628,14,21.573,5.7,3.072,low
Baptist Lake,839036.3678,2305886.993,MI,MI_DNR_ST,62_12,MI62_12,,2003,6.3,724,17,32.561,6.8,0.591,low
Big Lake,1013208.897,2257603.285,MI,MI_STORET,63_1144,MI63_1144,8/3/82,1982,3.7,1137,32,86.112,1.2,8.691,low
Cass Lake,1026879.256,2247135.069,MI,MI_STORET,63_1337,MI63_1337,9/10/81,1981,1.4,513,12,517.256,9.1,240.504,low
Lakeville Lake,1041396.043,2273591.96,MI,MI_DNR_ST,63_1650,MI63_1650,,2004,1.6,509,14,173.898,3,13.316,low
Kent Lake,1005463.037,2234637.516,MI,MI_DNR_ST,63_2,MI63_2,,2004,6.6,683,67,410.343,1.9,388.379,low
Orchard Lake,1026981.644,2244386.683,MI,MI_DNR_ST,63_344,MI63_344,,2002,1,558,15,321.916,6.7,7.541,low
White Lake,1010293.046,2251417.981,MI,MI_STORET,63_575,MI63_575,9/13/76,1976,7.8,523,18,209.832,3.3,6.815,low
Lower Pettibone Lake,1007357.777,2246085.866,MI,MI_STORET,63_673,MI63_673,9/25/78,1978,5.8,658,15,38.507,5.8,39.382,low
Pontiac Lake,1018641.153,2252838.286,MI,MI_STORET,63_731,MI63_731,8/3/82,1982,4.7,723,24.67,248.063,1.2,50.687,low
McLaren Lake,797964.993,2334269.868,MI,MI_STORET,64_56,MI64_56,9/8/80,1980,6.5,455,21,104.535,6.9,24.843,low
George Lake,952852.6418,2439109.664,MI,MI_DNR_ST,65_151,MI65_151,,2003,5.2,1150,26,75.568,6.2,6.843,low
Lake George,934050.057,2415501.75,MI,MI_STORET,65_8,MI65_8,8/28/80,1980,4.7,438,3,36.548,8.3,11.36,low
Big Lake,896793.1045,2500137.282,MI,MI_STORET,69_157,MI69_157,9/12/78,1978,3.2,458,9,50.349,7.3,1.27,low
Thompson Lake,864925.3687,2139292.023,MI,MI_DNR_ST,78_151,MI78_151,,2002,2,328,17,59.936,4.6,14.006,low
Klinger Lake,860668.6525,2136516.767,MI,MI_STORET,78_171,MI78_171,9/14/76,1976,4.8,539,10,334.462,6.4,47.52,low
Long Lake,865205.1385,2221115.447,MI,MI_STORET,8_362,MI8_362,9/5/79,1979,4.4,841,17,105.85,5.5,4.608,low
Leach Lake,871084.7982,2237119.224,MI,MI_STORET,8_490,MI8_490,9/2/76,1976,11,702,21,43.432,6.5,20.059,low
Carter Lake,869219.3113,2234764.451,MI,MI_STORET,8_493,MI8_493,9/5/79,1979,12,799,15,24.157,2.6,25.68,low
Middle Lake,872111.2107,2238162.52,MI,MI_DNR_ST,8_658,MI8_658,,2002,7,706,15,54.525,5.9,13.388,low
Long Lake,877014.9944,2213692.974,MI,MI_DNR_ST,8_69,MI8_69,,2003,8.1,1290,3,30.516,7.9,4.883,low
Bankson Lake,836882.3919,2169631.371,MI,MI_STORET,80_261,MI80_261,9/22/81,1981,0.85,630,14,147.119,4.1,2.938,low
Brandywine Lake,828844.4979,2194206.348,MI,MI_STORET,80_27,MI80_27,9/8/76,1976,34,1376,49,29.444,2.9,3.143,low
Lake Fourteen,815235.942,2196549.544,MI,MI_STORET,80_71,MI80_71,9/9/81,1981,2.6,673,20,28.123,2.2,1.315,low
North Scott Lake,817290.9619,2191010.151,MI,MI_STORET,80_84,MI80_84,9/14/77,1977,8,585,9,30.878,6.1,2.413,low
South Scott Lake,817170.4594,2190231.009,MI,MI_STORET,80_84S,MI80_84S,9/14/77,1977,4.3,487,10,47.834,6.1,3.926,low
Fourmile Lake,982177.7667,2210819.289,MI,MI_STORET,81_102,MI81_102,9/25/80,1980,0.71,1057,19,104.295,1.4,13.122,low
Base Line Lake,987187.3418,2221486.255,MI,MI_STORET,81_107,MI81_107,9/27/79,1979,6.8,554,24,99.575,9.5,1053.064,low
South Lake,973380.9917,2216589.684,MI,MI_STORET,81_18,MI81_18,9/24/80,1980,1.5,549,9,81.756,5.6,34.171,low
North Lake,978474.2756,2216226.189,MI,MI_STORET,81_27.1,MI81_27.1,9/22/80,1980,5.1,595,16,90.732,3.93,3.359,low
Bruin Lake,975623.9244,2219215.686,MI,MI_STORET,81_6,MI81_6,9/22/80,1980,3.4,823,9,52.54,5.6,3.771,low
Joslin Lake,972989.3151,2218953.61,MI,MI_DNR_ST,81_7,MI81_7,,2002,2,1040,23,79.279,1.6,38.814,low
LAKE MARY,631457.2041,2195108.207,WI,WIDNRbaseline,743000,WI743000,9/8/03,2003,8.76,840,28,132.487,2.743,5.176,low
BOHNER LAKE,628441.4569,2206692.98,WI,WIDNRbaseline,750800,WI750800,9/8/03,2003,6.15,1060,25,54.758,2.743,12.94,low
MOOSE LAKE,614115.9642,2262242.794,WI,WIDNRbaseline,778400,WI778400,8/18/03,2003,1.79,640,11,33.687,12.192,2.588,low
ELK CREEK LAKE,343345.4453,2433309.652,WI,WIDNRbaseline,2121000,WI2121000,7/23/02,2002,3.04,3160,244,23.194,1.829,43.997,low
LAKE MALLALIEU,256310.1369,2448619.964,WI,WIDNRbaseline,2607100,WI2607100,7/23/01,2001,39,1750,89,116.989,1.524,452.914,low
